count,date,title,description,org_link,link
454,2024-08-15 10:58:00,"삼성전자, AI가전 누적 판매 150만 대 돌파","<b>인공지능</b>(AI) 기능이 탑재된 삼성전자 가전제품이 올해 1월부터 7월까지 누적 판매량 150만 대를 돌파했다. 삼성전자는 올해 출시된 가전, TV에 고성능 AI 칩이나 카메라, 센서를 탑재해 더욱 다양한 AI기능을 경험할... ",https://news.tvchosun.com/site/data/html_dir/2024/08/15/2024081590042.html,https://n.news.naver.com/mnews/article/448/0000472002?sid=101
455,2024-08-15 10:56:00,"중국, 챗GPT 이후 AI 기업 8만개 문 닫았다",오픈 AI가 개발한 대화형 <b>인공지능</b>(AI) 챗 GPT가 2022년 11월 나온 이래 중국은 AI 창업 열기로 후끈 달아올랐지만 불과 2년도 되지 않아 8만개 가까운 AI 기업이 문을 닫았다고 홍콩 명보가 15일 보도했다. 중국... ,http://www.choicenews.co.kr/news/articleView.html?idxno=134357,http://www.choicenews.co.kr/news/articleView.html?idxno=134357
456,2024-08-15 10:56:00,"국민의힘 광주시당, 당 지도부에 지역 현안 협력 건의",정책협의회를 갖고 내년 국비 예산 확보 방안 등을 논의할 예정이다. 김정현 위원장은 &quot;광주 발전을 위해 <b>인공지능</b>(AI) 등 미래 신산업 육성이 필요하다&quot;며 &quot;차질 없는 사업 추진과 지역 발전을 위해 노력하겠다&quot;고 말했다.,http://www.namdonews.com/news/articleView.html?idxno=784736,http://www.namdonews.com/news/articleView.html?idxno=784736
457,2024-08-15 10:54:00,"[인터뷰] 켄 네스미스 CBO &quot;루닛 스코프, 이미 독보적 우위…연내 새 연구결과...","의료·생명공학 분야에서 15년 넘게 경력을 쌓은 그는 2021년 10월 루닛에 합류, AI(<b>인공지능</b>) 바이오마커 플랫폼 '루닛 스코프'(이하 스코프) 사업 전반을 진두지휘하고 있다. 그는 &quot;전 세계 주요 암 연구자들과 협력... ",http://news.mt.co.kr/mtview.php?no=2024081415352651349,https://n.news.naver.com/mnews/article/008/0005077424?sid=101
458,2024-08-15 10:54:00,"“폭염에 쓰러진 어르신, CCTV가 구했다”",오는 11월에는 동구 금남로 일대를 대상으로 ‘<b>인공지능</b>(AI)을 활용한 폐쇄회로(CC)TV 영상 기반 사람 찾기 시스템’을 시범 운영할 예정이다. 광주시는 앞으로도 증가하는 폐쇄회로(CC)TV의 효율적인 관제를 위해... ,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160271832570458,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160271832570458
459,2024-08-15 10:54:00,"삼성전자·SK하이닉스, 돈 도는 속도 빨라졌다…재고회전율도 개선",특히 회복세를 이끌었던 <b>인공지능</b>(AI) 분야에서 새로운 시장이 형성되지 않고 있다는 점이 테크 기업들의 투자를 계속 유인하기 어려운 이유로 꼽힌다. 반면 반도체 시장이 어쨌든 고부가가치 제품으로 패러다임이... ,http://theviewers.co.kr/View.aspx?No=3334895,http://theviewers.co.kr/View.aspx?No=3334895
460,2024-08-15 10:53:00,'AI 가전은 삼성' 7개월 만에 150만대 팔렸다,'<b>인공지능</b>(AI) 가전은 삼성' 공식이 소비자들에게 인정받았다. 삼성전자는 올해 1월부터 7월까지 'AI 가전'의 누적 판매량이 150만대를 돌파했다고 15일 밝혔다. 삼성전자는 △TV △모니터 △오디오 △냉장고... ,http://www.fnnews.com/news/202408151048458870,https://n.news.naver.com/mnews/article/014/0005228108?sid=101
461,2024-08-15 10:52:00,삼성전자 'AI 가전' 150만대 판매 돌파,"삼성전자는 자사의 '<b>인공지능</b>(AI) 가전' 판매가 올해 1월부터 7월까지 누적으로 150만대를 돌파했다고 15일 밝혔다. AI 가전 집계 품목에는 TV, 모니터, 오디오, 냉장고, 식기세척기, 인덕션, 세탁기, 건조기, 에어드레서... ",https://www.newscj.com/news/articleView.html?idxno=3169715,https://www.newscj.com/news/articleView.html?idxno=3169715
462,2024-08-15 10:52:00,[인터뷰] 마이크로소프트 UX연구원이 추구하는 사용자 경험,두 번째로는 <b>인공지능</b>(AI)이다. 사용자의 AI에 대한 경험을 측정하고 이를 추적하는 것이 중요한 것 같다. 요즘 AI가 화두인만큼 기업과 사용자의 AI에 대한 관심이 큰 것 같다. 기업 입장에서 사용자의 UX를 고도화하기 위해... ,https://byline.network/?p=9004111222541429,https://byline.network/?p=9004111222541429
463,2024-08-15 10:52:00,"가전제품에 <b>인공지능</b> 더했더니...&quot;확실히 편리하고, 아주 잘 팔리네&quot;","사진:삼성전자 삼성전자 'AI 가전' 판매가 올해 1월부터 7월까지 누적으로 150만 대를 돌파하며 가파른 성장세를 이어가고 있다. 삼성전자는 올해 출시된 가전, TV에 고성능 AI 칩이나 카메라, 센서를 탑재해 더욱... ",https://www.aitimes.kr/news/articleView.html?idxno=31963,https://www.aitimes.kr/news/articleView.html?idxno=31963
464,2024-08-15 10:52:00,[IT썰]구글 전 CEO &quot;AI 경쟁 밀린 이유? 재택근무 때문&quot;,구글의 전 CEO(최고경영자)인 에릭 슈미트는 최근 AI(<b>인공지능</b>) 기술 개발 경쟁에서 구글이 뒤처진 배경으로 '워라밸'과 재택근무 등의 업무행태를 지목했다. 14일(현지시간) 월스트리트저널 등 외신 보도에 따르면... ,http://news.mt.co.kr/mtview.php?no=2024081510142221842,https://n.news.naver.com/mnews/article/008/0005077423?sid=105
465,2024-08-15 10:50:00,"전주대 사범대, 교육부 교·사대 교원양성과정 혁신 사업 최종 선정","이 사업은 교육부가 고교학점제, <b>인공지능</b>(AI) 디지털 교과서 도입 등 학교 현장의 변화에 대응하여 수업 혁신을 선도할 교사를 양성하기 위해 올해 처음 추진됐으며, 전주대 사범대학은 전북지역에서 유일하게 중등... ",http://www.jeollailbo.com/news/articleView.html?idxno=741652,http://www.jeollailbo.com/news/articleView.html?idxno=741652
466,2024-08-15 10:50:00,주요 대기업 2분기 영업익 60조…삼성·SK 18조↑,전 세계적인 <b>인공지능</b>(AI) 열풍으로 반도체 업황이 호조를 보이며 국내 500대 기업의 올해 2분기 영업이익이 59조원을 기록했다. 이는 전년 동기 대비 2배 늘어난 수치다. 특히 AI 반도체 특수 등으로... ,https://www.newsway.co.kr/news/view?ud=2024081510494444888,https://www.newsway.co.kr/news/view?ud=2024081510494444888
467,2024-08-15 10:49:00,"`눈물의 상반기`…알서포트, 올해 상반기 매출·영업이익 모두 ↓",<b>인공지능</b>(AI) 등 연구·개발(R&amp;D) 투자를 늘린 것도 일부 영향을 미쳤다. 알서포트 관계자는 &quot;환율 등 시장 변화와 R&amp;D 투자 강화가 상반기 실적에 일부 영향이 있었다&quot;며 &quot;다만 캐시카우인 원격지원 솔루션 '리모트콜'이... ,https://www.dt.co.kr/contents.html?article_no=2024081502109931092003&ref=naver,https://n.news.naver.com/mnews/article/029/0002895334?sid=105
468,2024-08-15 10:49:00,연천군에 ‘경기도소방학교 북부캠퍼스’ 2029년 개교,"또 첨단 통합전술훈련장과 구조구급 전문 실습장, 소방훈련탑, 소방시설 실습장, <b>인공지능</b>(AI), 가상현실(VR), 확장현실(XR) 등 첨단기술을 적용해 미래형 실전 대처능력을 높일 수 있도록 9개의 교육훈련시설이 조성된다.... ",https://www.khan.co.kr/economy/market-trend/article/202408151048001,https://n.news.naver.com/mnews/article/032/0003315089?sid=101
469,2024-08-15 10:48:00,LG유플러스·지방자치단체 스마트시티 전환 지원,LG유플러스가 데이터 전문 기업과 손잡고 <b>인공지능</b>(AI)·빅데이터 등을 활용해 지방자치단체의 스마트시티 전환을 지원한다고 14일 밝혔다. LG유플러스는 지난 13일 화순군청·나이스지니데이타·티브릿지코퍼레이션과... ,https://www.thepublic.kr/news/articleView.html?idxno=232598,https://www.thepublic.kr/news/articleView.html?idxno=232598
