순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
42,2022-03-07,Ozark Air Services,Cessna 525B CitationJet CJ3,LDG,2,0,"Ozark Air Services 소속 Cessna 525B CitationJet CJ3 항공기가 미국 Baltimore-Martin State 공항에 착륙 후 브레이크 이상으로 활주로를 이탈하여 공항 구조물에 부딪혀 정지하였으나, 인명피해 없음."
43,2022-03-08,Bamaji Air,Cessna 208 Caravan I,ENR,2,0,"Bamaji Air 소속 Cessna 208 Caravan I 항공기가 캐나다 Sioux Lookout 공항 북서쪽 17km 지점에서 얼어붙은 Lac Seul 호수 표면에 충돌하여, 탑승자 2명은 경미한 부상을 입음. "
44,2022-03-09,Jet It LLC,Honda HA-420 HondaJet,LDG,3,0,"Jet It LLC 소속 Honda HA-420 HondaJet 항공기가 미국 Pittsburgh-Allegheny County 공항에 착륙 중 활주로를 이탈하였으며, 탑승객 3명 중 1명은 경미한 부상을 입음."
45,2022-03-12,Bocas Air,Beech 1900D,TOF,10,0,"Bocas Air 소속 Beech 1900D 항공기가 파나마 Panama City Albrook-Marcos A. Gelabert 공항에서 이륙 후 화물칸 문이 항공기에서 떨어져나가 이륙공항으로 회항 후 착륙하였으며, 인명피해 없음."
46,2022-03-17,Martinaire,Cessna 208B Super Cargomaster,TXI,1,0,"Martinaire 소속 Cessna 208B Super Cargomaster 항공기가 미국 Dallas/Fort Worth 공항에서 지상이동 중 같은 항공사 소속 동 기종 항공기와 충돌, 인명피해 없음."
47,2022-03-17,Martinaire,Cessna 208B Super Cargomaster,TXI,1,0,"Martinaire 소속 Cessna 208B Super Cargomaster 항공기가 미국 Dallas/Fort Worth 공항에서 지상이동 중 같은 항공사 소속 동 기종 항공기와 충돌, 인명피해 없음."
48,2022-03-21,China Eastern,Boeing 737-89P (WL),ENR,132,132,"China Eastern 소속 Boeing 737-89P (WL) 항공기가 중국 Wuzhou 지역에서 급강하 후 산악지역에 추락, 탑승자 132명 전원 사망함."
49,2022-03-30,"Gladwings, opf. Skydive Costa d'Argento",Cessna 208 Caravan I,ENR,1,0,"Gladwings 소속 Cessna 208 Caravan I 항공기가 스위스 산악지역에 충돌하여, 탑승자 1명 사망함."
50,2022-04-02,Georgia Crown Distributing Co.,Learjet 75,LDG,4,0,"Georgia Crown Distributing Co. 소속 Learjet 75 항공기가 미국 Morristown Municipal 공항에 착륙 중 활주로를 이탈하여 양 날개가 동체에서 분리되었으나, 탑승자 4명은 경미한 부상을 입음."
51,2022-04-07,DHL Aero Expreso,Boeing 757-27A (PCF),LDG,2,0,"DHL Aero Expreso 소속 Boeing 757-27A (PCF) 항공기가 코스타리카 San Jose-Juan Santamaria 공항에 착륙한 후 유압 시스템 이상으로 활주로를 이탈하였으나, 인명피해 없음."
52,2022-04-08,ALIANSA Colombia,AMI DC-3-65TP,LDG,14,0,"ALIANSA Colombia 소속 AMI DC-3-65TP 항공기가 콜롬비아 San Felipe 공항에서 착륙 중 좌측 타이어가 터지면서 활주로를 이탈하였으나, 인명피해 없음."
53,2022-04-11,Thunder Airlines,Beech A100 King Air,LDG,10,0,"Thunder Airlines 소속 Beech A100 King Air 항공기가 캐나다 Fort Albany 공항에 착륙 시도 중 랜딩기어 이상으로 베이스 공항인 Timmins Victor M. Power공항으로 회항하여 착륙, 인명피해 없음."
54,2022-04-13,private,Gulfstream American G-1159 Gulfstream II B,STD,,,개인 소유 Gulfstream American G-1159 Gulfstream II B 항공기가 베네수엘라 경찰에 의해 파괴됨. 마약 운반용으로 사용 추정.
55,2022-04-13,Gem Air,Cessna 208B Grand Caravan,APR,1,1,"Gem Air 소속 Cessna 208B Grand Caravan 항공기가 미국 Burley Municipal 공항에 접근 중 빌딩 옥상에 추락, 탑승자 1명 사망함."
56,2022-04-13,Colombian Police,Basler Turbo 67,LDG,14,,"Colombian Police 소속 Basler Turbo 67 항공기가 콜롬비아 Villavicencio-La Vanguardia 공항에 착륙 실패로 활주로 너머 관목 지대로 추락하였으나, 인명피해 없음. "
57,2022-04-14,Denver Air Connection,Fairchild SA227-DC Metro 23,TOF,,0,"Denver Air Connection 소속 Fairchild SA227-DC Metro 23 항공기가 미국 Denver 공항에서 이륙 포기 중 노즈 랜딩기어가 붕괴되었으나, 인명피해 없음."
58,2022-04-17,GP Aviation LLC,Cessna 525B CitationJet CJ3,LDG,3,0,"GP Aviation LLC 소속 Cessna 525B CitationJet CJ3 항공기가 미국 Caldwell Wright 공항에서 착륙 중 강한 바람으로 인해 활주로를 이탈하였으나, 인명피해 없음."
59,2022-04-22,Constanta Airlines,Antonov An-26B-100,ENR,3,1,Constanta Airlines 소속 Antonov An-26B-100 항공기가 우크라이나 Zaporozhye 공항에서 이륙 후 9km 북동쪽 지점에서 송전선에 부딪힌 후 추락하여 탑승자 3명 중 1명이 사망함.
60,2022-04-30,Skydive Pamiers,Cessna 208B Grand Caravan,APR,1,0,"Skydive Pamiers 소속 Cessna 208B Grand Caravan 항공기가 프랑스 Pamiers/Les Pujols 공항에서 접근 중 연료 고갈으로 활주로에 미치지 못하고 착륙, 인명피해 없음."
61,2022-05-06,Sociedad De Transporte Aereo Movi Air SPA,Beech 200 Super King Air,LDG,6,0,"Sociedad De Transporte Aereo Movi Air SPA 소속 Beech 200 Super King Air 항공기가 칠레 Santiago-Arturo Merino Benitez 공항에 착륙 중 메인 랜딩기어가 붕괴되었으나, 인명피해 없음. "
62,2022-05-06,Blue Air,Boeing 737-82R (WL),LDG,,0,"Blue Air 소속 Boeing 737-82R (WL) 항공기가 이탈리아 Naples 공항에 착륙 중 하드랜딩으로 동체 후방에 손상을 입었으나, 인명피해 없음."
63,2022-05-11,Caverton Helicopters,Viking DHC-6 Twin Otter 400,ENR,11,11,"Caverton Helicopters 소속 Viking DHC-6 Twin Otter 400 항공기가 카메룬 Nanga Eboko 지역 근처 숲에 추락하여, 탑승자 11명 전원 사망함."
64,2022-05-11,"Skydive4Fun, opf. LBK Servico Aereo Especializado",Cessna 208 Caravan I,ICL,16,2,"Skydive4Fun 소속 Cessna 208 Caravan I 항공기가 Centro Nacional de Paraquedismo에서 이륙 중 동력 상실로 들판에 비상착륙 시도 중 협곡과 울타리에 충돌하여 전복, 탑승자 16명 중 2명이 사망함."
65,2022-05-12,Tibet Airlines,Airbus A319-115 (WL),TOF,122,0,"Tibet Airlines 소속 Airbus A319-115 (WL) 항공기가 중국 Chongqing-Jiangbei 공항에서 이륙 포기 중 활주로를 이탈하면서 화재에 휩싸였으며, 탈출하는 과정에서 탑승자 122명 중 36명이 부상을 입음."
