평점,리뷰
0.5,"음식의 맛을 제외한 주변부 맥락(유래, 양식, 로컬, 역사, 요리법, 식재료 원산지 등)까지는 아니어도, 향은 어떤지, 재료와 재료의 케미는 어떤지, 요리방식이 맛에 끼치는 영향이라던지, 식감은 어떻다던지, 소스가 있고 없고의 차이라던지, 삼키고 난 뒤의 잔향은 어떤지, 포만감은 어떤지, 따위의 기본적인 맛 품평은 있어야 하지 않을까... 하. 7가지 닭꼬치 각각의 식감과 향, 맛 하나하나 자세히 시청하고 싶었다구... 요리하는 장면을 유심히 보니 화력이 꽤 세보여서 바삭한 식감이 장난 아닐 것 같은데.어떻게 언급하나 없는지...
시즈오카 오뎅도 마찬가지다. 부드러운 스지라 해서 너무 궁금했는데 엥? ""녹아"" 한마디로 다해쳐먹는거야? 이런식으로 배우 혼자 모조리 먹기만하면 시청자는 그냥 손가락 빨라는거야???
생선조림 정식도, 그냥 밥이 잘 넘어간다고 하면 다야??? 축구 경기를 중개한다고 치면, 아무말도 없다가, ""역시 박지성씨는 잘하네요"" 한마디 하면 중개가 되는줄 알아???
또 시즈오카 오뎅은 쿠로 오뎅이라며!! 특이한것 처럼 얘기해놓고 맛의 묘사는 왜 없는게야!
탄탄면도, 한쪽은 바삭해보이고 한쪽은 쫄깃해보이는 군만두를 먹는데 어떻게 제대로 된 코멘터리 하나 없을 수 있는지? 심지어 소스도 간장에 다대기 같은걸 첨가하던데, 다대기의 유무에 따른 맛의 비교까지는 몰라도 최소한 다대기는 어떤 맛인지 정도는 짚고 넘어가야 하는 거 아닌지... 후. 한국으로 쳤을 때, 국밥집 가서 다대기 무작정 넣나요? 조금 맛 보고 단맛인지 짠맛인지, 풋내가 나는지 안나는지, 농도는 진한지 옅은지, 매운맛은 훅들어오는지 뒤에 올라오는지, 맨국물과의 조합은 어느정도가 적절할지 머릿속에서 수많은 시뮬레이션을 거쳐야 비로소 다대기를 넣을 수 있지 않나... 무작정 찍어먹는 건 식사 양식이라 그렇다 쳐도 다대기가 어떤 맛이었는지 얘기는 해야지!!! 스촨 특제 다대기일거 아냐!! 어떻게 그걸 그냥 넘어가!!!
그리고 두부껍질 무침. 하. 언젠가 비슷한 요리를 먹은적이 있어서 면같은 두부의 식감정도만큼은 상상할 수 있었지만 한입 먹고 끝나서 너무나 당황... 후아. 그래 당신 혼자 싸악 다 맛있게 드셔라...
참다 참다 4화 시즈오카 오뎅에서 너무 짜증나서 더 이상은 못보겠다. 25분 러닝타임에 한끼가 메인인데 대략 13분이 넘어가야 첫술이 시작되고, 20분이 되기전에 식사가 끝난다. 7분동안 그저 묵묵히 씹고 있는걸 보거나, 우마! 라고 외치는걸 볼뿐이다. 식사의 비쥬얼(시각과 청각까지)은 그야말로 비쥬얼일뿐이다. 식사는 비로소 미각과 후각, 촉각으로 완성된다. 미식가라는 타이틀을 단 TV 방송이라면, 연기자가 경험한 미각과 후각, 촉각에 관한 보다 효과적인 전달 방식을 모색해볼 최소한의 노력은 보여야... 하. 시즈오카 오뎅 먹고 싶어 흑 ㅠㅠ 스지 오뎅은 도대체 뭐지... 스지가 어떻게 부드러울 수 있는거지...? 질겅질겅 씹는 맛이 일품인 녀석인데... 부..부드러워...?"
5.0,아 우마이 !
3.5,"왠 아저씨가 밥먹는 드라마가 나왔다는 예기를 들었을 때는 '세상에 그런 드라마를 누가봐?' 라고 생각했다
그 때는 내가 그런 드라마를 전 시즌 다 챙겨 보고 OST 까지 찾아서 들을 줄은 꿈에도 몰랐다"
4.0,미식에 대한 철학적이고 유희적인 접근.
5.0,야식 타임에 딱!
3.5,고로상 어떻게 가는 가게마다 다 성공인지 신기해
4.0,"1. 보는 것 만으로 향복해지는 드라마.
2. 다음에 일본 갈때 참고해볼까."
3.0,처음부터 끝까지 우마이.
3.5,"자장드라마
조용하고 저음목소리라 잠이 솔솔 온다
잠이 안오면 그냥 계속 먹는거 구경하면서 부러워하면 된다 👀"
4.0,우마이!
3.5,"재미있지 않게 볼 이유가 단 한개도 없는 맛있는 일드!
시즌1은 여러가지 스토리를 자연스럽게 녹여내면서 부정적 감정들도 긍정적으로 해결해버리는 이노가시라 고로상 캐릭터 덕분에 언제 어디서든 가볍게 보기 좋은 훈훈한 내용위주의 30분 이내의 드라마 시리즈물입니다.
※주의 : 보다보면 배가 ""많이"" 고파집니다※
식욕상승 일드라 주의가 필요합니다 ㅎㅎㅎ"
4.5,고로~ 고로~ 이노가시라 후~
3.0,이 인간 때문에 나도 볼때마다 배고프다
4.5,"유일하게 보고 너무 좋아하는 일본 드라마
'심야식당'과 달리 고로상이 혼밥러, 손님이라 새롭고 좋았다. 뒤에 원작자가 실제 식당가서 먹는 것이 특히 좋은데, 식당 가기 전이 재미없어서 -0.5 ㅠㅠ"
보고싶어요,티저에 나오는 고기 먹는 장면 몇화죠?
5.0,내 기준 전 시즌 통 틀어서 제목에 가장 부합하는 분위기와 연출을 가진 시즌
4.0,랜덤으로 보다가 이젠 밥먹을때마다 틀어놓고 본다.
4.0,하도 보라고 광고를 해대서 1화 틀었다가 시즌 1 완료..뜻하지 않은 취향의 발견
4.0,우마이!
4.0,호오~ 이이조 이이조~
5.0,남한테 간섭을 받지않고 식사를 하는것 그것이 바로 진정한 라이프스타일이다.
5.0,맛에 대한 평을 주입식으로 강요하지 않는 자연스런 음식 드라마.
5.0,갑자기 배가 고파졌다. 가게를 찾자.
3.0,우마이..!!
4.0,우리에게 꽤 공평하게 주어진 행복. 그리고 우리는 먹어야 살고 먹기위해서도 산다.
4.5,"띄엄띄엄 생각날 때 가볍게 한 편씩 보기 딱 좋다. 
편 당 시간이 짧고, 내용 간결하며, 먹방에 충실.
만화 캐릭터 같은 주인공의 표정과 표현들이 중년 배우의 주름까지 귀엽게 만든다."
4.0,"빠져든다.... 우마이 
저도 함께 우마이를 느끼고싶어욬ㅋㅋㅋㅋ"
4.5,* 주의 : 야식이 땡길 때 절대 보지말 것!
5.0,이노가시라 고로 이이쟈나이까
4.0,"""맛있어. 마음에 스며드는 맛이야."""
3.0,요새 인기많은?? 왓챠..왜이러냐
3.5,하정우가 리메이크하면 좋겠다
4.0,"내용도 내용이지만 ost를 너무나도 내 취향대로 만들었다.
고로~~~ 고로~~~ 이노가시라!!"
4.0,"우마이!!!
좋은 단어 하나 배웠다. 난 오이시가 다인줄알았는데."
5.0,난 고로가 먹을 때마다 행복하다. 게다가 몇번째 돌려보는지 모르겠다 ㅋㅋㅋ시즌 다 올라왔으면 좋겠다.
5.0,당신과 같이 밥을 먹으면 고독하지 않아.
4.5,고로상이랑 식사한끼..해봤으면
4.0,"단순먹방으론 이분이최고^^
심야식당과는 다른 순수먹방"
3.5,타인의 미식이 힐링이 되는 순간
5.0,"가장 심플하게 가장 맛있는 음식을 먹다.
먹는 것이 가장 완벽한 포상이니까!!"
4.0,ㅋㅋㅋㅋ뭔가 미묘하게 빠져들게 하는 매력
4.0,아무생각없이 보기시작해서 아무생각없이 다음시즌을 다운받는다
4.0,"엉뚱한 아자씨의 밥먹는 이야기, 은근한 중독성.."
3.0,진정한 푸드 포르로
4.5,배! 고! 파!
4.0,혼밥의 매력
3.5,벤쯔의 롤모델
5.0,세상에 이 드라마는 완벽해
3.5,아저씨 밥 너무 맛있게 드신다 ㅠㅠ 마음이 땃땃해지는 드라마~
3.5,고추오사마데시따.
5.0,배고프잖아요
4.0,정말 츤드레 같은 미식가. 그래서 더 끌린다.
4.5,방영시간이 하필 새벽시간대...
5.0,보기전에 주전부리라도 준비하고 볼 것.
4.0,한 입 가득 내맘에 쏙들게 드심ㅠㅠㅠㅠㅠㅜㅜㅜㅜ
4.0,인생 먹방 드라마
3.5,"타시즌보다 위꼴지수는 약함 베스트는 그나마 국물없는탄탄멘, 시즈오카오뎅 정도. 그래도 '고독한 미식가' 시리즈에 빠져들게하는 흡입력은 있음"
4.5,고로씨가 소식가라니.........대단
4.5,유일하게 보는 힐링물
5.0,"이놈가시나 우우,,,,, 한끼뚝딱"
4.0,손이 다음편을 누르고있더라
4.0,일하고 먹는 밥이 최고.
4.0,우마이 업
4.5,배고프다라는 말이 질리지않는다ㅎㅎㅎ
5.0,오늘도 혼자 식사하는 당신께.
3.0,배고프다
3.5,고로상 인생에 '오늘 뭐 먹을까?'보다 더 중요한 고민은 없을 듯
4.0,잠 안 올때 항상 보는 작품
3.5,하라가. 엣. . 따.
5.0,좋아하는 일드중에 하나
3.0,원패턴으로 시즌10이나 했으면 많이 해먹었다.
3.0,"미식 탐방 프로그램보다도 서사가 빈약한 드라마라는 신기한 존재, 그게 10년이 넘게 연장되는 더 신기한 일본 드라마판"
5.0,한 편당 시간도 적당 스토리도 적당 먹방도 적당 티비 틀면 볼 거 없을 때 무조건 고독한 미식가 틀어둔다 고로상 정말 많이 먹어
3.5,이 때의 고로상은 예민까칠미가 있었지..
4.0,난 먹는게 좋아
4.0,‘용과 같이’의 서브퀘스트를 섭렵해 나가는 기분.
3.5,전설의 시작
4.0,유튜버 먹방 보다 더 편안하게 즐길 수 있어서 너무 좋았다. 무엇보다 주인공이 너무 깔끔하게 식사해서 나도 무슨 맛인지 궁금할 정도. 앞으로의 시즌도 기대된다.
4.0,튀김먹는거 진짜 참기힘들다🥹🥲🤤🍤
5.0,최고임
3.5,아직 가 볼 장소도 많고 먹어 볼 음식도 많은 그 곳
3.0,うまい
3.5,얼렁뚱땅 흘러가는 분위기가 좋다.
2.0,배고픈 오늘에 위로 한 그릇.
보는 중,스포일러가 있어요!! 보기
4.0,"최소 별4개
반박시 편식쟁이"
3.5,첫 시즌은 생각보다 무거운 분위기였네
4.0,"... 빠둠. ~ 빠둠. ~
... 빠둠. ~ 빠둠. ~
... 빠둠. ~ 빠둠. ~
... 빠둠. ~ 빠둠. ~
아버지가 엄청 좋아하셔서 어렸을 적부터 같이 봤었던 추억이 생각난다."
4.0,한입만.
5.0,단순한 먹방이 아니라 인생과 철학이 담겨있는 드라마이다. 한국에서는 나오지 않을 드라마.
4.0,"빠르게 해치우는 한끼가 아닌 마음을 꾹꾹 눌러담은 정갈한 음식들이라 좋았다. 밥을 먹는다는 소소한 행복을 나눌 수 있는 따스한 드라마. 매번 배고프다는 계시가 내려오는 먹짱 미식가 아저씨도 제법 귀엽다.
👀🍚🫶"
5.0,2023.02.03
4.5,나 이거 안 봤는데 봤다고 떠요
3.0,나데리고다녓으면좋겟다..
4.0,중독의 시자자자자자잨ㅋㅋ
3.5,고로상이랑 밥먹고싶다
4.0,"1화 닭고기 완자를 피망에 싸 먹는 맛잘알 쩝쩝박사님 등장.
근데 츠쿠네는 반숙계란에 찍어 먹어도 꿀맛임."
5.0,그냥 밥먹는 건데 맨날 보고 있음 잔잔한데 괜히 이상한 세계관 넣고 스토리 개작살 내고 감독의 쓰레기 같은 성향 드러내는 영화 드라마 보다가 이거 보니까 선녀같음
4.5,腹が減った와うまい! 만큼은 이 아저씨 톤으로 말해줘야 제대로 말한 기분. (난 여자임)
5.0,사랑합니다
4.0,"하라가 ,,,,,, 헷따 ,,,,,, 뚱 ,,,, 똥 ,,,, 똥 ~~~~~~"
4.5,어느샌가 나의 꿈.
5.0,아 이거 내 20대 초반일지도
4.5,음식에 대한 것과 주요스토리의 비율이 적절하다
4.5,우마이.
5.0,"말이 필요없음 진짜 재밌고 웃기고 음식 맛있어보이고 무엇보다도 저때 당시 혼밥하면 이상하게 보는 시선이였는데, 이러한 분위기를 파괴시켜주었던 센세이션 느낌을 주었다"
5.0,하라가 헤따 그 위대한 시작
4.5,별점 0.5개를 뺀 이유는 야밤에 너무 배고파지기 때문
4.0,드시는걸 보면 참 맛나게 잘 드신다.
4.5,맛집 드라마를 보게 된 계기가 된 작품
4.5,"평범한 일상 속 맛있는 밥한끼는 소확행이다.
고로상의 먹방은 일본 원탑이라 말할수 있다.
특별히 꾸민것이 아닌..
있는 그대로의 식당 음식들을 보여줘서
일본 일상 속 내가 그 현장에 있는거 같아
너무 좋았다. ""일식을 좋아한다면 꼭 보십쇼"""
4.0,마음이 편안해진다
3.0,맛있는 음식을 진중하고 경건한 태도로 점잖게 먹는 일본 아저씨의 힐링 먹방. 낯설고 신기한 일본 본토 음식 체험이 재밌다.
5.0,하라가 헷타!
보는 중,"고로상이 술을 안마셔서 너무 괴로웠는데
뒤에 나오는 쿠스미상이 술꾼이라 다행이다"
3.0,"20210205
7,8,9 아니 채널 j에서 해 줘서 봤는데
어제저녁 오늘아침 오늘저녁 모두 789만 해줌,,,
대체 왜,,,
0212 10,11,12"
