평점,리뷰
5.0,별 일 아닌 일상을 별 일처럼 다루는 신기한 원작과 그 느낌을 고스란히 보여주는 연출 그리고 배우의 조화
5.0,아저씨 혼자 밥먹으러 다니는 내용이 다인데 왜이렇게 재밌는지 모를 일.
4.5,'고로~ 고로~ 이노가시라~' 고로 전용 BGM과 듣고 있으면 괜히 웃음이 나오는 리코더 소리가 고로의 먹방만큼이나 마음에 든다.
5.0,나에겐 전설의 시작 ㅠㅠ
4.0,"플롯도 행복도 반복; 단순히 음식때문은 아님.
고로에게 이입하기 때문에."
5.0,BJ 우마이
5.0,고급진 먹방
4.0,고로상은 항상 옳다.
4.0,"심야식당과는 또 다른 재미가 있는 먹방 드라마
외근을 나간다->배가 고프다->먹방. 단순한 스토리지만 빠져들게하는 마력을 가지고있다"
4.0,고독해도 이쟈나이카~ 고로상 혼자서도 맛있고 즐겁게 잘드심 ㅋ
4.0,고로~ 고로~ 고로~ 고로~ 이노가시라 호~
4.0,고독한 대식가!!
4.0,드라마의 장점을 잘 이용한 원작 초월 연출.
5.0,우마! 이이쟈나이까 이이쟈나이까
4.0,그래! 피망과 닭꼬치가 단연!!!
5.0,うまい！‼︎
