평점,리뷰
3.5,"1화. 백금발이 이렇게 예쁘다니 갑자기 반지의제왕이 보고싶어지는건 올랜도 백금발 때문이겠지?
*
2화. 늑대들 너무 멋졌다. 왕자새끼 목을 안물은게 아쉬우면서도 다행..
*
3화. 난쟁이 진짜 매력있네.
*
4화. 바세리스 볼때마다 로키 생각나네. 백금발화 로키. 스타크 토르 아빠 역할이면 참 잘어울릴텐데. 생긴게 존똑이자나.
*
5화. 꽃의 기사 로라..존잘 약간 뎅니 닮았다 포지션까지.
왕비 갈수록 예쁘네. 취향이야. 현재 최애1등을 달린다.
첫번째 죽는 캐릭터 나왔다.. 스타크 부하1 조리. 죽을지 몰랐어 정말.
*
6화. 새끼 악마-라고 하는 라나스터의 막내. 그가 제일 인간적인 것 같다. 거만하지 않고, 자신의 목숨을 지키기 위해 비굴할지언정 최선을 다하는 모습이 보기 좋다.
로버트 왕이 저 시대의 완벽한 남성상이라면 산사는 저 시대상에 굴복하는 완벽한 여성상이요..
*
7화. 칼 드로고 존나 무섭; 레알 앞에 서있으면 무서워서 울 거 같아.
왕비님 존멋이다. 빡치는데 난 자기 이익 위해서 수단방법 안가리고 부정 안하는 캐릭터 멋짐.
*
8화. 대너리스 뭔가.. 좋은데... 결국 믿는게 자길 향한 남편의 사랑이잖아? 멋진데.. 아 왜 싫지. 싫어할 이유가 없는데;
산사 빡친다. 세상물정 모르는 순진해빠진 멍청이. 저래놓고 아버지가 고마워할 거라 생각하겠지. 자기가 목숨 살렸다면서ㅗㅗ
*
9화. 라나스터 가문 진짜 잔혹하다. 잔혹해. 자신의 아들에게까지도.
에다드 스타크가 이렇게 죽을 줄은. 허망한 삶이다. 누구보다 나라를 사랑했던 그가 결국 스러졌다. 자식으로 부모를 농락하는 행위라니. 빨리 망해버렸으면 좋겠다. 칠왕국. 라나스터.
*
10화. 자신의 일에 변명하지 않는 자가 좋다지만 라나스터는 진짜 쳐죽이고 싶다. 조프리 혀랑 손톱, 발톱 다뽑고 한쪽 손목 자른다음에 그 새끼 머리 위에 올려놓고 매질했으면 좋겠다. 살려달라고 빌때마다 가족들을 눈 앞에서 한명씩 죽였으면 좋겠다.
*
*
판타지 러버들을위한 드라마. 영화 이상의 연출력과 영상미로 영화 이상의 시간을 투자할 가치를 만드니. 시즌2를 보러 가야겠다.
---
1화를 다시 보는데 사슴이 죽고, 다이어 늑대의 어머니가 죽어있다. 그리고는 북부는 사자의 구역이 아니라 말한다. 일종의 암시가 아니었을까. 바라테온 가문의 멸망, 에다드와 캐틀린의 죽음, 라나스터는 절대 북부를 차지할 수 없을 거라는. 이때 브랜 미모 대미쳤다."
4.0,시즌1 1화가 진입장벽이 높은거같은데 시즌후반까지만 참고보면 누구나 인생드라마가 될 것
5.0,폐인생활의 시작
5.0,죽음의 신은 한 마디만 한다. “NOT TODAY”
4.5,"신선한 세계관에 4D 뺨치게 입체적인 캐릭터, 예측을 뒤집는 전개까지 분명 흥미로우나 지나친 잔인함과 선정성 때문에 간혹 거부감도 든다."
5.0,칼 드로고 너무 섹시하다ㅜㅜㅜㅜㅜㅜㅜ나의 달이여
5.0,"에다드 스타크 그가 명예롭게 죽음으로써 대전쟁의 시작을 알리다
그리고 스타크 가문이 이대로 당하고만 있지 않았으면 좋겠다
티리온의 명대사My brother has his sword and I have my mind, and a mind needs books like a sword needs a whetstone. 이 기억에 남는다
진작에 이런 명작 미드를 ㅎ봤더라면 별로 나한테 맞지도 않는 원나블에(안맞는건지 시간이 지난건지) 시간낭비 안해도 됬을텐데"
3.5,밤새는거 쉽다
4.5,"에밀리아 클락을 이 작품으로 처음 알았는데, 정말로 웃을 줄 모르는 사람인 줄 알았다."
4.5,5점이 부족하다.
4.0,평 남기는 시간도 아깝다 빨리 시즌2 보러간다
5.0,"웰컴 투 막장의 게임.ㅋㅋㅋ
유명하기에 계속 보는 맛! 아직까지 인물 관계와 세계관 정리가 안 된다."
5.0,ㅠㅠ 죽지마
5.0,뒷통수 30개 준비
4.0,"칠왕국의 왕좌를 놓고 얽히고 설킨 권력 다툼의 시작. 나를 잡아끈 감상 매력포인트는 에피소드의 제목과 연관된 대사 한줄...  
Game of Thrones]
A song of ice and fire by George R.R. Martin
- S01e01 Winter is coming
He won't been boy forever, Winter is coming.
I won't let him take you.
S01e02 The Kings road
S01e03 Lord Snow
The Nothing someone says before the word but, really counts.
S01e04 cripples, Bastards and Broken things
S01e05 The Wolf and the Lion
S01e06 A Golden Crown
S01e07  You win or you die
S01e08 The Pointy end
이제 두편 남았다"
4.0,"등장인물이 많아서.. 처음에 혼란스러운거 빼곤 , 취저 제대로"
5.0,훌륭하게 짜인 세계관 속에서 최대한 박차고 뛰노는 캐릭터들.
4.5,마지막화 마지막 장면은 전체 시즌을 다 봐도 머릿속에서 지워지지 않을 거 같다
3.0,"윈터펠 , 칼리시
발음이 좋다
벽 타다가 떨어진 애가 주인공인줄ㅋㅋ
미모는 주인공급인데..
따로 주인공이 없지만 라니스터 세력들은 확실히 적?"
4.5,"이렇게 잔인할 줄 알았다면 시작 안했을텐데
이미 발을 들였고 멈출 수 없음"
4.0,다 죽여버려~
3.5,명분은 찾는 것이 아니라 만들어내는 것이다.
5.0,나만 이 작품의 대작성 몰라...
5.0,판타지 매니아는 좋아할 수 밖에 없다
4.0,주인공도 죽을 수 있어
5.0,책이 나음
5.0,보는 이를 사로잡는 숨막히는 게임의 향연
4.0,"캐릭터에 이렇게나 애착이 없는 드라마 또 없다
캐릭터 죽이기로 악명이 높더라니 과연...
물론 캐릭터 살리자고 스토리에 영향을 주면 안될 일이지만
진짜 내 최애가 필요없어지면 가차없이 한 두 장면 사이에 픽 죽어버림
아니 사실 픽 죽는 것도 아니고 목이 날아가거나 식물인간행ㅋㅋㅋㅋ
이보세요들... 시청자들 멘탈은 어떡하라고...ㅠㅜ...
졸라 재밌으니까 참는거지...광광"
4.5,멈추지 않고 보게된다는...
5.0,전설 현재진행중
4.5,드라마 속 캐릭터들에게 애정을 가지지말자.. 시즌끝엔 항상 충격적 반전
4.0,시즌1 엔딩에 용삼엄마가 너무 멋있음
5.0,내  최애작품!
5.0,한국 드라마를 안보게 되는 이유 중 하나
5.0,웰메이드 대하드라마
5.0,대너리스 여왕님...이제는 많이 크셔서 예전같지 않으세요
3.5,너무 잔인해서 보기 불편하지만 그것을 이겨내고 보게 만드는 드라마!
5.0,"이런 대작을 나중에 봐야지하며 미뤄뒀다니
과거의 내 자신이 미워질정도.
이런 드라마를 우리나라에서 기대하는건 너무 큰 욕심이겠지?"
4.0,왕좌의 게임 vs 데스노트
5.0,한마디로 갓갓갓 갓갓.
5.0,이런 드라마를 처음 접했다
4.5,스타크 대학살의 서막
2.5,"예전에 1편보고 말았는데 요즘에 다시 본 드라마.
명작에는 이유가 있는가."
4.5,루즈한 중반부에 졸았고 지루했지만 후반부는 정말 대단했다
5.0,용이 운다
5.0,야하고 재밌네요
5.0,winter is keep comming.
5.0,와 장난아니네. 이래서 유명한거구나
4.0,시간 가는 줄 모르고 봅니다.
4.0,시작하면 시간이 증발함.
3.5,"최고~!
멋진 작품, 시즌 1을 보는 동안 행복했었네^^"
5.0,시즌1 지루할수 있다 기다려야한다 곧 새로운세계가 열린다
4.5,그만좀 죽였으면 좋겠다
5.0,"공부?하고 보면 더 재미있다.
세계관, 가문의 역사 등
매번 시즌이 기다려지는 드라마"
5.0,웰메이드 드라마
3.5,주변 친구들 5명을 시즌7까지 보게 만든....^^
5.0,처음으로 보려고 한 시리즈물
4.5,이곳에선 제정신 박힌놈은 죽는다는 법칙을 확립시키다. 티리온 라니스터 사랑해요
5.0,미쳐따 왜 이걸 이제야 봤을까여
5.0,"아름다운 영상미와 지루하지 않는 내용이
매력인 드라마"
4.5,너무 잔인하고 야만적이다. 게다가 내가 가장 좋아했던 인물을 그렇게 만들다니. 더 이상 볼 이유가 없어졌다.
4.5,아무것도 모르는 남자와 용녀의 레전드가 시작되었다
5.0,중세 역사 이야기라고 해도 믿을만큼 현실적이더니 막판에 용이 나와 깜놀
4.0,HBO 알고봤더니 밴드오브브라더스도 HBO였더군.. 전설의 시작.
4.0,"주인공인줄 알았던 곱상한 남자애가 1화부터 장애인이 됨
주인공인줄 알았던 정의의 사도가 시즌 1부터..읍읍...!
그렇게 전설이 시작되었다."
5.0,가장 명예로운 자의 가장 어리석은 희생
4.0,왕좌의 게임은 시즌1이 진짜지ㅡ
4.0,클리셰는 이곳에 없다
4.5,왓챠플레이에서 보게해줘!!
4.0,예상할수 없는 전개
4.0,그냥 봐라
5.0,"인물 가문 이름 어렵다고 함부로 인물관계도나 가계도를 검색하지 마세요.
저 찾다가 사망한 인물을 흑백처리해서 스포 당함"
3.5,숀빈좀 그만 괴롭혀
5.0,이건 드라마가 아니다 영화다 !!!!
5.0,결국 누구나 다 죽는다는 허무한 진리 위에 창조된 거대한 판타지 대하드라마.
5.0,재미지나 프리즌 브레이크 급 충격은 아니니까
5.0,"완벽하고도 화려한 서막.
이때부터였을까요 주인공에게 정을 주지 않으려는 챠갸운☆시청자가 되기로 마음먹은게."
5.0,기나긴 스토리를 위한 기반을 다졌다.
4.0,흐어어 이 대작을 지금에야 보다니 ㅠㅠㅠㅠ
4.5,너무 야해...
5.0,전설의시작
5.0,핵꿀잼ㅋㅋㅋ 드라마 정주행 다한거 처음...
5.0,"누가 될것인가...? 
""Winter is coming"""
4.0,질질끄는 맛이 있지만 그래도 재미는 있다
5.0,오늘도 숀빈은 죽는다.
5.0,초반만 참으면 신세계가 열릴것이다
5.0,이게 바로 그 유명한 직진신호 입니까?
4.5,전설의 시작
4.5,최고의 판타지 중세물
4.0,죽이는 드라마. 그냥 다 죽인다. 숨 죽이고 보게 된다.
4.5,전설의 시작
5.0,"Best of best
별 10개줘도 됨
5화까진 살짝 지루할지 모르지만
그 이후론 빠져나올 수 없음"
4.5,"네 꿀잼
드라마 계의 신세계
내가알던드라마 흐름이랑 전혀 달라서 조음"
5.0,"(시즌 다 통틀어 리뷰를 하나만썼다)
내 이번생은 망했어 왜냐 왕좌의게임까지 파는중이니까. 혹시 왕좌의게임 시작하려는 사람들이 알아둬야할것은 최애캐를 만들지말라는것, 그리고 누군가 왕좌에 앉았다고 방심하면안된다 조지 R.R 마틴은 너가 그리고 우리가 생각하는것보다 무서운사람이다."
4.0,4편까지 따라가기가 좀 지루하고 따분한데 참고 넘기면 10편까지 참을수가 없다. 이제 시즌1만을 본게 어쩌면 행운! 어서 시즌2 보러 가야지~
4.0,시험기간인데...
5.0,왕좌의 게임 시즌이 시작되면 잠을못잔다 빨리 다음시즌와랓!!!!
5.0,이재밌는걸 왜 이제봤을까..
5.0,전설의 시작
4.0,드로고😘
4.0,이때까지만 해도 서든데스 게임일 줄 몰랐지
4.5,"5화 또는 6화에 나온 게이씬만 빼면...
뒤늦게 개미지옥에 빠졌다."
5.0,"하루만에 한 시즌 끝내버리며 호기롭게 시작!
미친 졸잼이다. 용애미의 전설을 보다니....
진심 쩐다!!!! 그 누구도 애정을 갖고 시청하지 않기로 다짐한다. 사실 아리아가 살짝 좋음ㅎㅎ"
4.0,칼드로고....엉엉 ㅠㅠㅠㅠ죽이지마요 ㅠㅠㅠㅠ
4.5,내 최애캐 돌려노라고....
5.0,전설의 시작
5.0,"괜히 봤다. 일년 일년이 기다림의 시간이 되어 버렸다.
https://youtu.be/l7XVNPm3tjA"
4.5,어느 비중있는 캐릭터라도 언제 목이 잘려나갈지 모른다
5.0,대너러스!!
4.0,ㅅㅅ와 목긋기가 주요 컨텐츠
5.0,최고미드중하나
4.0,"미드중 역대급 아닐까.... 
캐릭터에 애착좀 가져볼랬더만 싹둑 잘라버리시네요..
역시 실망을 안겨주는 법이 없는 HBO"
4.0,"매번 후려치는 한방. 
니머리에 한발!
방대한 스케일을 탐험하는 재미. 
남자라면 판타지."
4.5,맨날 다 죽어. 그게 이 드라마의 맛
4.5,설마 죽겠어..? 하는데 너무 쉽게 죽어버려서 기대를 버리기로 했다. 캐릭터 빠는 맛으로 봤는데 도대체 어떻게 보지. 제발 윈터펠 애들 더는 죽이지 말아줘.
3.5,걸작
5.0,시즌1 마지막은 반지의제왕 반지원정대 마지막 장면을 보는듯한 느낌을 받았다.
5.0,"영화같은 퀄리티
상상조차 할 수 없는 방향으로 흘러가는 줄거리!"
5.0,"원작의 충실한 재연, 당시 무명 배우들의 탁월한 캐스팅, 연출..그리고 묵직한 음악이 더해져서 역대급 미드의 시작!!!"
4.0,다죽여.
5.0,"시즌1은 그 시작이리니....
너무 오래전이라 잘 기억은 안 나지만 잘 참고 보면 마지막에 비로소 판타지 미드임을 알 수 있는 장면이 나오면서 드디어 시즌2 부터 시작임을 알 수 있게 된다 ㅋ"
4.0,'발라 모굴리스' 시즌 전체를 관통하는 대사. 주역 한사람 한사람 죽어나갈때마다 경악을 금치 못한다. 그래서 이 드라마를 가슴 졸이며 다음 시즌을 기다리는 이유가 아닐까
5.0,왕좌의 게임을 봤다는 것만으로 2016년은 성공했다.
보고싶어요,이게 다 롭엄마 때문이야
4.0,그 놀라운 구현성에 다시 한 번 박수를.
5.0,최고
5.0,winter is coming
5.0,전설의 시작
5.0,왕좌의게임 주위에서 나만 모르는듯..
5.0,미국드라마의 웅장함이 그대로 담겨진 영화가 아닌가 싶다.
4.0,말이 필요없는 최고의 미국 드라마. 브레이킹 배드와 함께 투탑일듯 하다.
5.0,윈터 이즈 커밍!
5.0,완벽한.드라마 구성 연출 화면색감까지.반전도 많고 스릴있는 하루에 몰아서보면 심장이떨리는.드라마
5.0,재밌는데 자꾸 죽어서 다음시즌을 못보겠다 ㅠ
4.5,"퓨전사극은 이렇게 찍는 거다 이 ㅅㄲ들아
라는 소리없는 아우성이 모든 씬에서 들림"
5.0,왕좌의 게임이 어떤 소설인지 모르고 본 그 때에는 조금은 지루하고 야한장면만... 골라서 봤다. 하지만 마지막의 그 충격은.. 그리고 모든 시즌을 다 본 지금으로서는 그 시절의 왕겜을 대하는 그 안일한 나를 꾸짖게 된다... 아... 왕겜이여
5.0,전설의 시작.말이필요없다
3.0,진짜 너무 재밌어 인물 간의 갈등변화
5.0,몰라 왕겜짱이야
5.0,시즌1이 제일 재밌다
4.5,전세계 드라마 트렌드를 바꾼 새로운 전환점
3.0,첨엔지루하지만 가면갈수록  최고
5.0,시즌1 엄청재밌게봤어요!
4.5,방대하지만 치밀한 세계관의 어른을 위한 중세 판타지
3.5,대작의 시작
4.5,단연 최고 미드. 그 시즌의 서막.
5.0,ㅎㅎ 이게 왜 이렇게 인기가 있는거죠??  서양의 퓨전 대하사극 보는 느낌~ 우리나라 사극을 내용이라도 대충 아니까 흥미가 있지만. 이건~. ^^
4.0,역대 넘버원 미드
5.0,"초반 에피소드가 지루해도 좀만 애정을 갖고 지켜보세요. 
.
.
걔 죽습니다 곧."
4.5,이렇게 자극적일수가. 그나저나 언제 재밌어져요?
4.0,말해 뭐하나. 그냥 최고의 드라마.
5.0,"끝판왕을 보고야 말았다. <왕좌의 게임>. 지금까지 보았던 수많은 영화나 TV 드라마보다 압도적인, 어떤 위대함을 목격했다는 벅찬 느낌이다. 악마에게 사로잡힌 노예가 된 나는 반복 시청과 원작 소설 읽기라는 늪에 빠져들 것 같다는 불안감에 떨고 있다."
4.0,정주행 start
5.0,개쩐당
5.0,"마지막화 마지막 장면은 
감히 말하건데 내가 본 최고의 엔딩이었다
네마리의 용이라니"
4.5,"각 가문의 가계도를 숙지하고 보면 재미가 두배가 되는  미드 갑오브갑~~
시즌7 내년봄까지 어찌 기다리누....ㅜㅜ"
5.0,Winter is coming...
3.5,놀라운 시작
4.0,아낌없이죽이는드라마ㅠ
5.0,믿고보는 미드 0순위  프리즌브레이크 이후 쵝오
4.5,"한번 발을 들여놓는 순간, 그대는 시즌6를 보고있겠디"
4.0,충격과 공포다!!
4.0,전설의 시작.
5.0,"명불허전 점입가경
스토리의 탄탄함이 느껴진다"
4.5,전설의 시작
5.0,왜 이제서야 이걸 본건지 모르겠고... 추천해준 친구에게 감사를 표한다......?
4.0,모든 캐릭터의 안위를 걱정 해야 하는 우리들
보고싶어요,"Shut up! 
Just Binge watch."
4.0,발라 모굴리스
5.0,미드가 왜 인기있는지 깨달은 작품...보기를 멈출수가 없어요. 예측할 수 없는 캐릭터의 운명. 예측 불가한 스토리전개.
5.0,모든 미드는 시즌1 이 진리.
5.0,전설의 시작
5.0,"몇번을 시도해도
1화보다 잠이든다
언제쯤 진가를 알아볼수있을까 ㅋㅋㅋㅋㅋㅋㅋ"
5.0,"드래곤마미
울프패밀리
호빗패밀리
의 대결"
4.5,6년째 노예중
4.5,스케일이 다르다 크...
4.5,영화보다 더 영화같은 희대의 고퀄라티 드라마
5.0,아니 어떻게 이게 드라마여?
5.0,칼리시께서 드레곤들을 얻으시다
4.0,이땐 몰랐다
5.0,칼 드로고.... ㅠㅠㅠㅠㅠㅠㅠ 나의 달.... 내 여자에게만은 스윗해서 진짜 나도 모르게 광대 로켓 발싸 하면서 봤는데 뿌에에에에에엥 ㅠㅠㅠㅠ 시즌 5를 보는 중이지만 아직까지도 칼 드로고만큼 안타까운 인물이 없다. ㅠㅠㅜㅠ 뭐 시즌1 에서 바이 하는 게 맞는 것 같기는 하지만... 큽.... 하아.... 이 땐 몰랐다. 이게 그나마 폭풍전야 였다는 걸. ㅋㅋㅋㅋㅋ 모여 있는 게 좋은거야ㅠㅠ
5.0,영화와 드라마의 경계에 대한 나의 편견을 없애주었음
5.0,처절한 인간 체스말들
4.5,19금 대하 순정물 안좋아할 수가 없다
5.0,"스타크가문 알아가기
그리고 라니스터남매의 정사씬 in the tower.."
보고싶어요,드라마의 왕
3.5,"pros
1. 완벽함
2. 원작 읽고싶음
cons
1. 시즌7 언제 나오지"
4.0,5점 줘도되나 망설였으나 내용도 그렇지만 너무나도 과감한 수위를 높게 평가함... 굉장히 충격적
4.5,등장인물을 좋아하지마라.
4.0,Council에 속한 이들의 속고 속이며 간을 보는 정치행위가 상당히 흥미롭다 결국 거의다 죽지만......ㅎㅎ
5.0,보고싶다~
5.0,나름 재밌음
4.0,"스토리탄탄! 연기력탄탄! 연출력탄탄!
시간가는줄 모르면서 시즌2편을하루만에 다봤다.
""여성""이라는 존재를 가끔 불쾌할 정도로 낮추지만 왠지 중세시대 때의 모습이 더 사실적으로 그려져서 계속보게된다."
4.0,그의 머리가 뎅강 잘려나가는 순간 내 멘탈도 뎅강..^_^
4.5,"Not today. 
.
.
시작."
3.5,와...이걸 안본사람은 아직 살아야 할 이유가있는 드라마...
3.0,존잼!!!!!
4.0,이번에도 어김없이 죽는 사망전문배우 숀 빈...
4.0,책도 사야지
3.0,마치 반지의 제왕을 보는 듯한 느낌?!
2.0,집중력은 떨어지지만 달려나가기 위한 기반을 다졌다
4.5,"배경 설명, 수많은 인물들과 그들 각자의 이야기, 복합적인 요소들, 온갖 디테일. 거목의 수많은 두꺼운 가지들과 그에 달린 잔가지들, 또 잔가지들에 붙은 무성한 풀잎들과 과일들을 떠올리게 한다. 다른 드라마의 시즌1 1~2회가 왕겜의 시즌1 전체와 같은듯하다. 시즌1 자체가 어떤 본격적인 스토리가 시작하기 전의 아주 기나긴 서막으로 느껴졌다. 그럴수밖에 없는 것은 알지만 아직 큰 재미가 느껴지진 않았다."
5.0,이제는 시그널만 들어도 두근두근
5.0,조프리야 너가별한개깎은거야 ㅂㄷㅂㄷ
4.0,HBO가 돈 잘 쓰는 법 하나는 보여준 시리즈
5.0,哈哈哈哈哈哈
5.0,"왕좌의 게임은, 보던가, 보고 싶어 죽던가 둘 중 하나다.
그 중간은 없다."
4.5,대너리스 좋아하는 이유
3.5,무슨 말이 필요있으랴
3.5,"영화 좋아하는 형이 요즘 이거 보고 있다고 해서 보기 시작
처음에는 뭔가 촌스러 보였는데 재밌넹
누가 죽을지는 몰랐지만 준비는 하고 봐서 별로 충격 안 받음"
4.0,최고의 미드다.
4.5,"매회 긴장하면서 재밌게봤다 .
오프닝도 좋고 스토리도 재미있는!
최애를...두지..말자8.8"
4.5,"이 잼나는걸 이제 보다니..후회로 시작
미친듯이 시즌 6까지 보긴했는데 아껴 볼껄..후회로 끝"
4.5,숀빈은 항상 죽는다
3.0,"이게 왜 중독된단건지 아직 모르겠다는. 용이
크고 나면 좀 나아질까."
5.0,피와 섹스가 어우러진 어른들의 판타지
4.5,"지루해?
그건 드라마 초기니까 당연한거지
조금만 기다리면 염통이 쫄깃해질지니"
4.5,시즌1이 최고지!
5.0,"숨쉴틈없이 빠른 전개, 그럼에도 시즌6까지 떨어지지 않는 긴장감
역시 소설기반 영상물은 스토리가 탄탄해~
 + 대너리스♡"
4.5,드라마 출연진 학살 그 비극의 시작
5.0,충격적인 신세계
3.5,"진짜 존나 명작이다ㅠㅠ
명작의 시작은 이거였다.
5점 못줘서 미안하다"
4.5,존잼
5.0,엄청난 대서사시의 시작으로 나무랄 데가 없음!
5.0,마이로드
5.0,사랑해요
5.0,세계관과 등장인물을 이해하기에도 벅찬데 수많은 암투들까지. 정신 차리기도 전에 시즌은 끝나있다.
4.5,마스터피스의 시작
4.5,그래 다죽어라 다죽여
5.0,"RIP 네드 스타크
왕좌의 게임 스타트를 너무 잘 끊어줘서 고마워"
5.0,정신없고 불친절한데 재밌다!
5.0,"대작의 첫걸음이자 정점,,"
5.0,시즌6의 얼굴들을 대충 봐서 내 최애캐가 죽어 사라질 걱정은 없다.ㅎㅎ 늦게 출발한 자의 여유가 이것이니라!
3.0,전설의 시작
4.5,뭐라 할말이.. 너무 단호박이다 드라마가... 직접 봐야한다..
5.0,새롭게 쓰여지는 역사
4.5,넌 왕이 될수 이ㅆ.....!!!
5.0,끝판왕
4.5,솔직히 시즌1 7?8?화까진 노잼인데 꾹참고 보면 진심...개쩌는 복수극이시작됨 싫은 사람들 보면 속으로 드라카리스 외치게될걸
4.5,드라마아닌 영화
5.0,위험하다 나머지 시즌은 수능끝나고 .... 다짐
5.0,다 죽여라 다 죽여
3.0,스타크 ㅠㅜ
4.0,주요인물이라 생각했던 캐릭터들이 계속 죽어나가는 경험은 처음이었고 매우 신선한 충격이었음.
4.5,반전에 반전 충격에 충격 정들라치면 죽여버림ㅠㅠㅠ 탄탄한 스토리 정말 대박!!
4.5,야해서 저런걸 왜보나했는데 반전의 반전의 반전의 재미를 주는 드라마
5.0,시청자 뒷통수 내려치다 못해 부시는게 취미인 드라마. (and 원작자.)
5.0,"여기 나오는 여자들은 하나같이 걸래짝 취급이라는 것에만 초점이가서 추천해준 남자친구한테 불쾌한 내색을 했던 때가 있었지. 돌이켜보니 오빠한테 정말 미안합니다.
시즌2부터는 내가 먼저 보자고 컴퓨터 켜고 있다."
4.0,함부로 누구 좋아하지마라...
5.0,OH MY GOD
5.0,우리나라에서 방영됬다면 KBS1 주말 9시 드라마 스타일이었을텐데
5.0,뭐야 내가 왜 이 명작 평가를  아직도 안 했지?ㅋㅋㅋ
4.5,"^1화는 다시 봐도 재미있음 ㅎ
+시즌 8을 보고 있는 지금, 시즌 1이 얼마나 잘 만들어진 스토리인지 새삼 깨닫게 된다."
4.0,"자극적인 모든 게 들어가있는 드라마. 시즌1은 대너리스의 성장이 눈에 띄는 시즌이었다. 다음시즌도 기대.
사람이든 동물이든 절대 정을 주지 말자~~~~~"
4.5,GoT 본 이후로 한드는 하나도 못보겠다
5.0,현실 세계에서 판타지스러움보다 판타지에서 현실적인 이야기를 그려내는 것이 우리에게 더욱 강렬한 인상을 줄 수 있음을 이 작품을 통해 알 수 있다. 이야기를 위해서 물불을 가리지 않는 과감한 연출과 캐릭터들의 향연은 이 작품을 명작의 반열에 올리고 있다.
5.0,winter is comming...
5.0,조프리 너 이..
4.5,결말의 그 아름다움이란
5.0,자네가 전설의 시작인가..??
4.5,암칼리씨
5.0,"잔인한거 못봐서 그런 장면이 나올 때 마다, 눈 가리면서 틈틈이 봤는데도 재미있다!"
4.5,"모든 인간은 자신의  이익을 위해 행동한다
그 이익이 욕심이 되는 순간부터 영혼의 파멸이 시작된다 그게 하루든  10년이든 가슴 속 깊은 곳에서부터의 후회를 통해 순간의 깨달음을 얻는다
허나 그땐 이미 늦었다. 살아남은 자의 냉정한 평가만이 뒤따른다."
4.0,마지막 장면이 인상적이네요~^^
5.0,시즌이 갈수록 누가 죽어도 익숙해져서 지금은 아무렇지 않게 보지만...처음볼땐 주인공에 감정이입해서 보는 내겐 충격적이었음. 용이 나오면 제 점수는 후해요.
4.0,"내 빈약한 상상력덕분에 소설보다 재밌다.
난쟁이 무시하지 말자"
4.0,방학동안 내 모든 집중은 여기에만 쏠렸었지..
4.5,개꿀잼
5.0,주인공인줄 알았는데 ....?
4.5,"다시 정주행중이다.
조프리는 다시 봐도 재수없다.
소설에서 상상했던 장면들이
감칠맛나게 보여줘서. 그야말로
우왕굳. 영상하나보는것만으로
이거슨 별다섯개."
5.0,용엄마 짤 보고 허으으ㅓ어ㅓㅓ허 진짜 이쁘다;;; 하고 황급히 보기시작함 ㅋㅋㅋㅋㅋ 해피엔딩을 기대하고 보기 시작한 내자신이 원망스럽다. 해피엔딩 성애자 주제에 감히!!! 어딜 왕겜에서 최애캐를 만들려고!!!! (철썩철썩)
5.0,차곡차곡 쌓여가는 서문의 포문이 웅장하다
4.0,정의로운 순서로 목 따이는 드라마 꿀잼
5.0,최고의 드라마
5.0,싹둑♡
5.0,말이 필요한가? 이 시대 최고의 드라마.
4.5,캐릭터에 정 붙일시간은 좀 줘라..
4.0,대체역사물이라고 생각해도 좋을...
2.0,Winter is coming
5.0,인물 소개만 버티면 열번째 에피소드에서 반할수밖에없음!!
4.0,예상별점이 5.0이면 이거 완전 정확하구만
4.5,뻔하지 않아서 흥미롭다
5.0,항상  주인공이라 살아남는다는것을 거부한 드라마
3.5,새로운세상을 볼수있었던거시  좋았어요^^
4.5,최고다
5.0,"""시작하면 끝을 봐야한다"""
4.0,시즌제만이 구사할 수 있는 탄력을 제대로 써먹는다. 21세기 시즌제 드라마의 완성형. 인간사와 정치와 말초적인 재미를 넉넉하게 제공한다.
3.5,전설의시작
5.0,본격 주연 배우가 캐릭터의 운명을 알려주는 드라마
5.0,지루함을 견디면 미친 중독으로 이어짐
4.5,헉헉..
4.5,첨엔 누가누군지 정신이 없다가 꾹참고 보다보면 어느새 마지막회. 이 드라마는 장난이 아니라는걸 깨닫게됨!!
5.0,"도쿄핫에 정치, 전쟁을 섞은 드라마"
5.0,강렬하지만 허술하지 않고 자극적이지만 성급하지 않은 스토리텔링
5.0,"재밌는거같은데..
내가 멍청해서인지 등장인물이 너무 많아서 재미가 반감된다.. 복잡해"
4.0,등장인물을 가솔린으로 태워 전진하는 수작. 진부함을 땔감으로 태워버리는 판타지물
5.0,이게바로 중요캐도 정붙일새 없이 가차없이 죽인다는 왕겜인가요?
5.0,드라마 최종보스
5.0,좋아지려하면 캐릭터가 죽는다
3.0,전설의 시작.믿음의 배신.충격의 마지막!
4.5,일단 보기 시작하니 멈출 수 없다. 주인공 찾느라 정신없었다.
2.5,시즌5까지 보고 다시 시즌1 ep1 을 보며 스타크가가 모여있는 걸 보고 울컥했다.
4.5,넘잼잇어요
5.0,장대한 서사시에 압도당하는 기분
4.5,짜릿해!새로워! 왕겜이 최고야
5.0,참고만 보면 안된다. 보면서 인물관계도를 잘 살펴보자. 시즌1에서 놓치면 시즌3쯤 보다가 다시 시즌1 본다.
5.0,ㅈㅈ
4.5,"용, 권력, 사랑"
4.0,화장실 갈 시간이 아까움
5.0,주인공이 나오자마자 죽는건줄...
5.0,내인생은 왕겜을 보기전과 보고난후로 나뉜다
4.5,10대를 해리포터와 반지의제왕과 함께 자랐다면 20대에 와서는 단연코 왕좌의게임을 꼽겠다.
5.0,통수의 게임.
