평점,리뷰
3.5,"역시 명성에 걸맞게 흡입력있다
등장인물이 많고 사건이 빠르게 진행돼 잠깐 놓치면 다시 되돌려볼수밖에 없음. 켜두고 집안일 못함 ㅋㅋ
시즌이 몇갠데 오로지 이것만 보려니 그것도 엄두가 안난다."
5.0,"죽음과 배신, 권력의 난장판 사이에서, 결국 왕좌에 앉을 자가 누가 될 것인가?"
1.0,"인물 퇴장의 과감함이 극을 얼마나 생생하게
만들어 주는 가에 대한 완벽한 교과서"
5.0,확실히 잘 만들었는데... 너무 자극적인 여혐세계관이라 못보겟음ㅠㅠ 강간씬 너무 많이나오고.. 하아..ㅠ 8화까지인가 보고 포기함
4.5,"첫 편을 보고 홀릭되어 달린다. 
시즌1.. 정말 잘 만들었다. 
오~ 스타크 가여..
ps. 
대형 스크린에서 상영했으면 더 좋으련만. 나만의 욕심이던가!!
÷
20180704~10 왓챠플레이"
4.5,괜히 시작했다 진짜 괜히 봤다 시험 조졌다
5.0,뒤늦게라도 시작한 나에게 박수를
5.0,모두 조심하십셔 주인공일 줄 알았는데..! 그랬는데..!
4.0,멋지고 선한 주인공이 무조건 고난을 이겨내고 승리하는 일은 오히려 비현실적이다.
5.0,"스타크 가문과 대너리스 이야기가 좋아
하지만 보고 있으면 영혼이 더럽혀지는 느낌이야
-
2020년 7월. 왓챠. 211. 곰곰⭐️"
3.0,"남자친구가 시즌8까지 본 드라마라서 공감은 하고 싶은데, 잔인한 걸 못 봐서 몇 번이나 보지 말라고 했지만 그래도 보게 된..! 작품. 약육강식의 세계를 정말 현실적으로 잔인하게 잘 표현해서 몰입해서 봤다. 
Ep9에서 예상치 못했던 인물이 결국 죽게 된 것이 인상깊었고, 원시적인 부족장이 아내를 부를 때 ""내 달이여"", 그의 아내가 남편을 부를 때 ""내 해와 별이여""라고 부르는 것이 가장 좋았다."
5.0,"소문 대로 고퀄 미드. 
그러나 내 취향과는 많이 다른듯 하다."
4.5,역사상 가장 완벽한 드라마 시리즈
0.5,정신차리자 이 드라마에서 최애는 만들면 안되는 것이야......
5.0,1화까지는 오오 판타지! 이랬지만 그 뒤부터는 대체 뭐에 재미를 느껴야 하는지 모르겠다. 온갖 자극적이고 폭력적인것들로 가득가득해 보일 뿐..ㅠ 인물들도 매력 없고..
4.0,"이후로 매 시즌 10화를 조심하게 된다.
하지만 항상 충격먹지...ㅜㅠ"
4.0,"시작부터 장대하다.
스펙타클~ 서막을 올리다."
5.0,해리포터처럼 차라리 원작부터 읽었다면 세계관을 이해하고 더 재미있게 볼 수 있었을 듯. 그래도 2010년대 명작드라마의 반열엔 빠지지 않을 드라마인 것 같다. 근데 시즌2를 보고싶단 생각이 별로 안 드는 건 왜일까.
